player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars,R,HR,RBI,SB,AVG,GS,W,SV,K,ERA,WHIP,SO
"Elly De La Cruz",DMK,CIN,SS,FALSE,FALSE,0,19,6,17,3,.337,0,0,0,0,0.00,0.00,0
"Josh Naylor",DMK,FA,1B,FALSE,FALSE,0,12,3,17,1,.348,0,0,0,0,0.00,0.00,0
"Nolan Arenado",DMK,STL,3B,FALSE,FALSE,0,10,3,9,0,.265,0,0,0,0,0.00,0.00,0
"Fernando Tatis Jr.",DMK,SD,OF,FALSE,FALSE,0,18,2,10,6,.244,0,0,0,0,0.00,0.00,0
"Jake Cronenworth",DMK,SD,2B,FALSE,FALSE,0,9,4,12,1,.235,0,0,0,0,0.00,0.00,0
"Thairo Estrada",DMK,COL,MI,FALSE,FALSE,0,6,2,15,1,.289,0,0,0,0,0.00,0.00,0
"Tyler Stephenson",DMK,CIN,C,FALSE,FALSE,0,10,1,9,0,.232,0,0,0,0,0.00,0.00,0
"Roki Sasaki",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"E. Diaz",DMK,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Michael Busch",DLC,CHC,1B,FALSE,FALSE,0,15,8,18,1,.333,0,0,0,0,0.00,0.00,0
"R. Acuna Jr.",DLC,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Nathaniel Lowe",DLC,FA,CM,FALSE,FALSE,0,16,5,18,0,.266,0,0,0,0,0.00,0.00,0
"Gavin Sheets",DLC,SD,OF,FALSE,FALSE,0,10,2,11,0,.284,0,0,0,0,0.00,0.00,0
"Nico Hoerner",DDG,CHC,2B,FALSE,FALSE,0,11,3,8,3,.264,0,0,0,0,0.00,0.00,0
"Drake Baldwin",DDG,ATL,C,FALSE,FALSE,0,6,3,10,0,.196,0,0,0,0,0.00,0.00,0
"Robert Suarez",DDG,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,4,8,10.80,2.52,0
"Ryan Helsley",DDG,FA,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,4,9,2.57,0.86,0
"Ketel Marte",SKD,AZ,DH,FALSE,FALSE,0,20,7,19,0,.298,0,0,0,0,0.00,0.00,0
"Aaron Nola",SKD,PHI,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Mike Burrows",SKD,PIT,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,30,2.77,1.31,0
"T. Megill",SKD,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Jeff McNeil",RGS,NYM,OF,FALSE,FALSE,0,10,5,15,0,.273,0,0,0,0,0.00,0.00,0
"Erick Fedde",RGS,FA,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,11,8.53,1.89,0
"H-S. Kim",DMK,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Iván Herrera",DMK,STL,C,FALSE,FALSE,0,4,2,8,0,.350,0,0,0,0,0.00,0.00,0
"Juan Sanchez",DMK,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Dylan Crews",DMK,WSH,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Austin Hays",DMK,CIN,OF,FALSE,FALSE,0,4,1,5,0,.194,0,0,0,0,0.00,0.00,0
"Tyler Glasnow",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Matthew Boyd",DMK,CHC,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,17,1.80,0.83,0
"Kyle Stowers",DLC,MIA,OF,FALSE,FALSE,0,16,6,13,0,.286,0,0,0,0,0.00,0.00,0
"Edwin Suarez",DDG,UNK,3B,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Francisco Lindor",DDG,NYM,SS,FALSE,FALSE,0,15,3,9,1,.192,0,0,0,0,0.00,0.00,0
"Logan Henderson",DLC,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"J. Wood",DDG,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Brenton Doyle",DDG,COL,OF,FALSE,FALSE,0,15,2,7,2,.222,0,0,0,0,0.00,0.00,0
"Jackson Chourio",DDG,MIL,OF,FALSE,FALSE,0,19,4,15,3,.268,0,0,0,0,0.00,0.00,0
"Christian Yelich",DDG,MIL,OF,FALSE,FALSE,0,10,4,20,2,.322,0,0,0,0,0.00,0.00,0
"Victor Scott II",DDG,STL,OF,FALSE,FALSE,0,9,2,9,5,.222,0,0,0,0,0.00,0.00,0
"Trea Turner",SKD,PHI,SS,FALSE,FALSE,0,17,4,9,5,.301,0,0,0,0,0.00,0.00,0
"O. Cruz",RGS,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Brandon Nimmo",RGS,NYM,OF,FALSE,FALSE,0,13,8,18,6,.313,0,0,0,0,0.00,0.00,0
"Andrew McCutchen",RGS,PIT,OF,FALSE,FALSE,0,10,3,11,0,.286,0,0,0,0,0.00,0.00,0
"Brendan Donovan",RGS,STL,OF,FALSE,FALSE,0,13,3,6,0,.241,0,0,0,0,0.00,0.00,0
"Matt Chapman",RGS,SF,3B,FALSE,FALSE,0,4,0,0,1,.400,0,0,0,0,0.00,0.00,0
"P. Smith",DVD,UNK,1B,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Tyler Fitzgerald",DVD,SF,SS,FALSE,FALSE,0,0,0,5,1,.143,0,0,0,0,0.00,0.00,0
"Francisco Alvarez",DVD,NYM,C,FALSE,FALSE,0,5,2,3,0,.231,0,0,0,0,0.00,0.00,0
"J. Bell",LDL,UNK,1B,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Grant Holmes",DVD,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,45,2.22,1.34,0
"Ronny Henriquez",DVD,MIA,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,4,19,2.70,1.05,0
"Andy Pages",LDL,LAD,OF,FALSE,FALSE,0,15,5,19,1,.308,0,0,0,0,0.00,0.00,0
"Alec Burleson",LDL,STL,DH,FALSE,FALSE,0,12,6,19,0,.303,0,0,0,0,0.00,0.00,0
"Hayden Birdsong",LDL,SF,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,17,8.35,1.69,0
"Christian Encarnacion-Strand",DMK,CIN,CM,FALSE,FALSE,0,7,2,9,0,.203,0,0,0,0,0.00,0.00,0
"Luis Arraez",DMK,SD,DH,FALSE,FALSE,0,13,1,9,1,.308,0,0,0,0,0.00,0.00,0
"Otto Lopez",DLC,MIA,2B,FALSE,FALSE,0,16,4,22,3,.289,0,0,0,0,0.00,0.00,0
"T. Scott",DMK,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Ben Casparius",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,13,8.24,1.68,0
"Spencer Schwellenbach",DDG,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,33,2.70,0.73,0
"Spencer Strider",DDG,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,44,3.00,1.06,0
"Landen Roupp",DDG,SF,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,17,4.30,1.74,0
"Freddy Peralta",DDG,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,4,0,29,2.89,0.79,0
"Zac Gallen",DDG,AZ,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,28,6.23,1.45,0
"C. Kelly",SKD,UNK,C,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"L. Gurriel Jr.",SKD,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Lars Nootbaar",SKD,STL,OF,FALSE,FALSE,0,7,3,8,0,.157,0,0,0,0,0.00,0.00,0
"TJ Friedl",SKD,CIN,OF,FALSE,FALSE,0,12,3,8,0,.250,0,0,0,0,0.00,0.00,0
"Ryan McMahon",SKD,FA,CM,FALSE,FALSE,0,11,5,7,1,.221,0,0,0,0,0.00,0.00,0
"Xavier Edwards",SKD,MIA,MI,FALSE,FALSE,0,13,0,5,4,.295,0,0,0,0,0.00,0.00,0
"Edward Cabrera",SKD,MIA,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,22,2.08,0.83,0
"Bryce Elder",SKD,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,13,12.64,2.81,0
"Carlos Sanchez",SKD,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Kyle Schwaber",RGS,UNK,DH,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Michael Soroka",RGS,WSH,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,35,6.15,1.18,0
"Andrew Abbott",RGS,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,19,2.10,1.13,1
"Yoshinobu Yamamoto",RGS,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,23,3.52,1.04,0
"Logan Webb",RGS,SF,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,32,2.73,1.18,0
"Dalton Rushing",DLC,LAD,C,FALSE,FALSE,0,4,0,2,0,.200,0,0,0,0,0.00,0.00,0
"Liam Hicks",DLC,MIA,C,FALSE,FALSE,0,3,0,4,0,.261,0,0,0,0,0.00,0.00,0
"Michael King",DLC,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Abner Uribe",DLC,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,15,3.86,1.20,0
"Nick Martinez",DLC,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,18,5.68,1.18,0
"Daniel Palencia",DLC,CHC,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,5,11,2.00,1.33,0
"Clayton Kershaw",DLC,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,4,0,24,2.48,1.03,0
"Nick Castellanos",SKD,PHI,OF,FALSE,FALSE,0,11,5,17,0,.247,0,0,0,0,0.00,0.00,0
"Matt McLain",SKD,CIN,2B,FALSE,FALSE,0,15,3,11,1,.270,0,0,0,0,0.00,0.00,0
"Sal Frelick",SKD,MIL,OF,FALSE,FALSE,0,14,2,15,4,.287,0,0,0,0,0.00,0.00,0
"Alec Bohm",SKD,PHI,3B,FALSE,FALSE,0,9,3,19,0,.304,0,0,0,0,0.00,0.00,0
"Austin Riley",DVD,ATL,3B,FALSE,FALSE,0,13,2,10,0,.275,0,0,0,0,0.00,0.00,0
"Jordan Beck",DVD,COL,OF,FALSE,FALSE,0,13,2,13,2,.283,0,0,0,0,0.00,0.00,0
"Michael Adel",DVD,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Me. Kelly",DVD,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Sonny Gray",DVD,STL,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,26,4.01,0.93,1
"David Peterson",DVD,NYM,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,22,4.02,1.31,1
"Tyler Hernandez",LDL,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Juan Soto",LDL,NYM,OF,FALSE,FALSE,0,22,10,20,3,.357,0,0,0,0,0.00,0.00,0
"Jung Hoo Lee",LDL,SF,OF,FALSE,FALSE,0,14,0,4,0,.146,0,0,0,0,0.00,0.00,0
"Michael Harris II",TSH,ATL,OF,FALSE,FALSE,0,5,2,7,2,.141,0,0,0,0,0.00,0.00,0
"Pete Crow-Armstrong",TSH,CHC,OF,FALSE,FALSE,0,14,6,12,5,.250,0,0,0,0,0.00,0.00,0
"Scott Manea",TSH,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Chad Patrick",TSH,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,32,5.40,1.56,0
"Nick Lodolo",TSH,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,29,4.68,1.32,0
"Dylan Cease",TSH,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,36,4.40,1.36,0
"Ryan Bergert",DMK,KC,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,19,3.00,1.22,0
"Cade Horton",DMK,CHC,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,19,4.78,1.56,0
"Robert Suarez",DMK,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,4,8,10.80,2.52,0
"Ronald Maurcio",DLC,UNK,3B,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Kyle Tucker",DLC,CHC,OF,FALSE,FALSE,0,19,5,12,5,.287,0,0,0,0,0.00,0.00,0
"Dansby Swanson",DLC,CHC,SS,FALSE,FALSE,0,12,4,8,0,.298,0,0,0,0,0.00,0.00,0
"Corbin Carroll",DLC,AZ,OF,FALSE,FALSE,0,8,2,5,0,.205,0,0,0,0,0.00,0.00,0
"T. Megill",DLC,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Shohei Ohtani",DLC,LAD,DH,FALSE,FALSE,0,20,7,17,1,.247,0,0,0,0,0.00,0.00,0
"Paul Skenes",DLC,PIT,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,30,1.95,1.05,0
"Zack Wheeler",DLC,PHI,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,42,0.58,0.87,0
"Tommy Edman",DLC,LAD,MI,FALSE,FALSE,0,11,1,9,0,.243,0,0,0,0,0.00,0.00,0
"Rhys Hoskins",DDG,MIL,1B,FALSE,FALSE,0,9,3,6,0,.176,0,0,0,0,0.00,0.00,0
"Gabriel Moreno",DDG,AZ,C,FALSE,FALSE,0,2,1,3,0,.167,0,0,0,0,0.00,0.00,0
"Brett Baty",DDG,NYM,CM,FALSE,FALSE,0,6,3,8,1,.212,0,0,0,0,0.00,0.00,0
"Spencer Steer",DDG,CIN,DH,FALSE,FALSE,0,13,6,17,3,.325,0,0,0,0,0.00,0.00,0
"CJ Abrams",DDG,WSH,MI,FALSE,FALSE,0,24,4,11,8,.337,0,0,0,0,0.00,0.00,0
"MacKenzie Gore",DDG,WSH,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,23,3.72,1.38,0
"Camilo Doval",DDG,FA,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,5,10,7.45,1.76,0
"Matt Olson",SKD,ATL,1B,FALSE,FALSE,0,12,4,24,0,.354,0,0,0,0,0.00,0.00,0
"Hunter Goodman",SKD,COL,C,FALSE,FALSE,0,14,6,14,0,.280,0,0,0,0,0.00,0.00,0
"Shohei Ohtani",SKD,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,6,1.50,0.83,0
