player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars,R,HR,RBI,SB,AVG,GS,W,SV,K,ERA,WHIP,SO
"Austin Hays",DMK,CIN,OF,FALSE,FALSE,0,8,1,11,2,.228,0,0,0,0,0.00,0.00,0
"Yu Darvish",DMK,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,24,4.88,0.88,0
"Cade Horton",DMK,CHC,P,TRUE,FALSE,0,0,0,0,0,.000,0,4,0,28,1.44,0.88,0
"Tyler Glasnow",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,32,3.45,1.05,0
"Robert Suarez",DMK,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,4,12,1.69,0.84,0
"E. Diaz",DMK,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Francisco Lindor",DDG,NYM,SS,FALSE,FALSE,0,24,6,13,8,.343,0,0,0,0,0.00,0.00,0
"Logan Henderson",DLC,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,4,2.08,1.15,0
"Spencer Steer",DDG,CIN,1B,FALSE,FALSE,0,10,5,17,0,.220,0,0,0,0,0.00,0.00,0
"Kyle Tucker",DLC,CHC,OF,FALSE,FALSE,0,12,3,9,2,.231,0,0,0,0,0.00,0.00,0
"Dansby Swanson",DLC,CHC,SS,FALSE,FALSE,0,15,5,14,3,.273,0,0,0,0,0.00,0.00,0
"Caleb Durbin",DLC,MIL,3B,FALSE,FALSE,0,13,4,9,2,.247,0,0,0,0,0.00,0.00,0
"Michael Ventos",DDG,UNK,DH,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"CJ Abrams",DDG,WSH,MI,FALSE,FALSE,0,11,3,11,2,.240,0,0,0,0,0.00,0.00,0
"Brett Baty",DDG,NYM,CM,FALSE,FALSE,0,16,4,7,2,.358,0,0,0,0,0.00,0.00,0
"Logan Webb",RGS,SF,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,32,2.51,1.02,0
"Geraldo Perdomo",DVD,AZ,SS,FALSE,FALSE,0,26,4,12,7,.330,0,0,0,0,0.00,0.00,0
"Ryan O'Hearn",DVD,BAL,1B,FALSE,FALSE,0,13,3,11,0,.274,0,0,0,0,0.00,0.00,0
"Ozzie Albies",DVD,ATL,2B,FALSE,FALSE,0,13,4,17,2,.264,0,0,0,0,0.00,0.00,0
"Jacob Misiorowski",DVD,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,18,9.58,1.55,0
"R.Rodriguez",DVD,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"J. Bell",LDL,UNK,1B,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Hunter Greene",DVD,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,21,3.12,0.98,0
"Abner Uribe",DVD,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,2,18,0.00,0.85,0
"Bryson Stott",LDL,PHI,2B,FALSE,FALSE,0,13,2,11,6,.304,0,0,0,0,0.00,0.00,0
"Tyler Hernandez",LDL,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Juan Soto",LDL,NYM,OF,FALSE,FALSE,0,27,10,21,9,.284,0,0,0,0,0.00,0.00,0
"Elly De La Cruz",DMK,CIN,SS,FALSE,FALSE,0,13,0,5,2,.233,0,0,0,0,0.00,0.00,0
"Dylan Crews",DMK,WSH,OF,FALSE,FALSE,0,9,0,4,3,.216,0,0,0,0,0.00,0.00,0
"Bryan Reynolds",DMK,PIT,OF,FALSE,FALSE,0,13,4,16,0,.271,0,0,0,0,0.00,0.00,0
"Iván Herrera",DMK,STL,C,FALSE,FALSE,0,9,2,10,3,.244,0,0,0,0,0.00,0.00,0
"Isaac Collins",DMK,MIL,OF,FALSE,FALSE,0,14,2,17,4,.278,0,0,0,0,0.00,0.00,0
"Matthew Boyd",DMK,CHC,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,19,5.56,1.24,0
"Kyle Stowers",DLC,MIA,OF,FALSE,FALSE,0,7,1,6,0,.250,0,0,0,0,0.00,0.00,0
"J. Wood",DDG,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Brenton Doyle",DDG,COL,OF,FALSE,FALSE,0,11,6,17,5,.321,0,0,0,0,0.00,0.00,0
"Christian Yelich",DDG,MIL,OF,FALSE,FALSE,0,22,6,20,0,.313,0,0,0,0,0.00,0.00,0
"Victor Scott II",DDG,STL,OF,FALSE,FALSE,0,2,0,2,2,.174,0,0,0,0,0.00,0.00,0
"Zac Gallen",DDG,AZ,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,25,2.48,1.00,0
"Freddy Peralta",DDG,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,4,0,34,0.32,0.82,0
"E. Rodriguez",SKD,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Shohei Ohtani",SKD,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,27,5.71,1.15,0
"Ketel Marte",SKD,AZ,DH,FALSE,FALSE,0,17,2,16,2,.292,0,0,0,0,0.00,0.00,0
"Xavier Edwards",SKD,MIA,MI,FALSE,FALSE,0,17,1,6,7,.252,0,0,0,0,0.00,0.00,0
"Willi Castro",SKD,CHC,CM,FALSE,FALSE,0,3,1,3,0,.137,0,0,0,0,0.00,0.00,0
"O. Cruz",RGS,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Andrew McCutchen",RGS,PIT,OF,FALSE,FALSE,0,6,1,11,0,.255,0,0,0,0,0.00,0.00,0
"Brendan Donovan",RGS,STL,OF,FALSE,FALSE,0,1,0,3,0,.240,0,0,0,0,0.00,0.00,0
"Matt Chapman",RGS,SF,3B,FALSE,FALSE,0,9,2,8,2,.214,0,0,0,0,0.00,0.00,0
"Brandon Nimmo",RGS,NYM,OF,FALSE,FALSE,0,14,3,14,0,.278,0,0,0,0,0.00,0.00,0
"Kyle Schwaber",RGS,UNK,DH,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Andrew Abbott",RGS,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,29,4.45,1.12,0
"Austin Riley",DVD,ATL,3B,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Seiya Suzuki",DVD,CHC,OF,FALSE,FALSE,0,10,1,6,1,.250,0,0,0,0,0.00,0.00,0
"Masyn Winn",LDL,STL,MI,FALSE,FALSE,0,10,2,9,3,.183,0,0,0,0,0.00,0.00,0
"Kodai Senga",LDL,NYM,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,17,4.74,1.47,0
"Tyler Stephenson",DMK,CIN,C,FALSE,FALSE,0,2,1,2,0,.120,0,0,0,0,0.00,0.00,0
"Roki Sasaki",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Thairo Estrada",DMK,COL,MI,FALSE,FALSE,0,0,0,0,0,.100,0,0,0,0,0.00,0.00,0
"T. Scott",DMK,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Otto Lopez",DLC,MIA,2B,FALSE,FALSE,0,11,1,10,2,.229,0,0,0,0,0.00,0.00,0
"Emmet Sheehan",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,28,3.52,1.00,0
"Michael Busch",DLC,CHC,1B,FALSE,FALSE,0,12,5,15,0,.244,0,0,0,0,0.00,0.00,0
"R. Acuna Jr.",DLC,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Francisco Alvarez",DLC,NYM,C,FALSE,FALSE,0,7,3,11,0,.351,0,0,0,0,0.00,0.00,0
"Tommy Edman",DLC,LAD,OF,FALSE,FALSE,0,0,0,0,0,.500,0,0,0,0,0.00,0.00,0
"Dalton Rushing",DLC,LAD,C,FALSE,FALSE,0,3,2,10,0,.179,0,0,0,0,0.00,0.00,0
"Andrew Vaughn",DLC,MIL,CM,FALSE,FALSE,0,9,3,16,0,.242,0,0,0,0,0.00,0.00,0
"C. Rea",DLC,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Alexis Díaz",DLC,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,5,9.64,1.50,0
"Jose Quintana",DLC,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,18,4.28,1.10,0
