player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars,R,HR,RBI,SB,AVG,GS,W,SV,K,ERA,WHIP,SO
"Elly De La Cruz",DMK,CIN,SS,FALSE,FALSE,0,16,4,10,9,.260,0,0,0,0,0.00,0.00,0
"Nolan Arenado",DMK,STL,3B,FALSE,FALSE,0,10,2,8,0,.205,0,0,0,0,0.00,0.00,0
"Gavin Lux",DMK,CIN,2B,FALSE,FALSE,0,12,1,11,0,.288,0,0,0,0,0.00,0.00,0
"Luis Arraez",DMK,SD,CM,FALSE,FALSE,0,10,0,8,0,.313,0,0,0,0,0.00,0.00,0
"Tyler Stephenson",DMK,CIN,C,FALSE,FALSE,0,4,1,5,0,.190,0,0,0,0,0.00,0.00,0
"Wilmer Flores",DMK,SF,DH,FALSE,FALSE,0,12,4,19,0,.306,0,0,0,0,0.00,0.00,0
"Tommy Edman",DLC,LAD,OF,FALSE,FALSE,0,4,1,9,1,.185,0,0,0,0,0.00,0.00,0
"Michael King",DLC,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,25,2.01,0.90,0
"J. Wood",DDG,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"J. Walker",DDG,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Brenton Doyle",DDG,COL,OF,FALSE,FALSE,0,6,1,5,3,.140,0,0,0,0,0.00,0.00,0
"Victor Scott II",DDG,STL,OF,FALSE,FALSE,0,13,1,11,6,.284,0,0,0,0,0.00,0.00,0
"Jackson Chourio",DDG,MIL,OF,FALSE,FALSE,0,9,2,7,6,.243,0,0,0,0,0.00,0.00,0
"Corbin Burnes",DDG,AZ,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,26,0.74,1.11,0
"Spencer Strider",DDG,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Zac Gallen",DDG,AZ,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,30,4.71,1.33,0
"Matt McLain",SKD,CIN,2B,FALSE,FALSE,0,12,2,7,8,.189,0,0,0,0,0.00,0.00,0
"K. Hayes",SKD,UNK,CM,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"David Bednar",SKD,FA,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,2,16,2.53,0.84,0
"Brandon Pfaadt",SKD,AZ,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,26,4.33,1.48,0
"Carlos Sanchez",SKD,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Tyler Glasnow",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,6,3.60,1.40,0
"Willy Adames",DMK,SF,MI,FALSE,FALSE,0,17,4,13,1,.255,0,0,0,0,0.00,0.00,0
"T. Scott",DMK,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Shohei Ohtani",DLC,LAD,DH,FALSE,FALSE,0,28,10,21,5,.320,0,0,0,0,0.00,0.00,0
"P. Smith",DDG,UNK,1B,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Rhys Hoskins",DDG,MIL,CM,FALSE,FALSE,0,8,3,16,2,.321,0,0,0,0,0.00,0.00,0
"Keibert Ruiz",DDG,WSH,C,FALSE,FALSE,0,6,0,5,0,.262,0,0,0,0,0.00,0.00,0
"Christian Yelich",DDG,MIL,DH,FALSE,FALSE,0,11,3,12,5,.207,0,0,0,0,0.00,0.00,0
"Robert Suarez",DDG,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,7,11,5.40,1.00,0
"Camilo Doval",DDG,FA,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,3,14,0.00,0.60,0
"Matt Olson",SKD,ATL,1B,FALSE,FALSE,0,19,7,13,0,.235,0,0,0,0,0.00,0.00,0
"MacKenzie Gore",DDG,WSH,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,39,3.95,1.39,0
"Ryan Helsley",DDG,FA,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,6,7,3.00,1.33,0
"L. Gurriel Jr.",SKD,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"C. Kelly",SKD,UNK,C,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Lars Nootbaar",SKD,STL,OF,FALSE,FALSE,0,17,4,14,2,.255,0,0,0,0,0.00,0.00,0
"TJ Friedl",SKD,CIN,OF,FALSE,FALSE,0,13,2,8,5,.236,0,0,0,0,0.00,0.00,0
"Hunter Goodman",SKD,COL,C,FALSE,FALSE,0,16,4,21,0,.340,0,0,0,0,0.00,0.00,0
"Ketel Marte",SKD,AZ,DH,FALSE,FALSE,0,11,5,8,1,.208,0,0,0,0,0.00,0.00,0
"Xavier Edwards",SKD,MIA,MI,FALSE,FALSE,0,7,0,4,5,.213,0,0,0,0,0.00,0.00,0
"Bryan Reynolds",DVD,PIT,OF,FALSE,FALSE,0,9,3,12,2,.183,0,0,0,0,0.00,0.00,0
"Geraldo Perdomo",DVD,AZ,MI,FALSE,FALSE,0,13,2,15,7,.294,0,0,0,0,0.00,0.00,0
"Mark Vientos",DVD,NYM,CM,FALSE,FALSE,0,12,3,12,0,.305,0,0,0,0,0.00,0.00,0
"J. Martinez",DVD,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Grant Holmes",DVD,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,34,4.11,1.20,0
"Jeimer Candelario",LDL,CIN,1B,FALSE,FALSE,0,0,0,2,0,.000,0,0,0,0,0.00,0.00,0
"Bryson Stott",LDL,PHI,2B,FALSE,FALSE,0,14,3,14,6,.239,0,0,0,0,0.00,0.00,0
"Ryan Walker",DVD,SF,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,2,9,10.13,2.25,0
"Iván Herrera",DMK,STL,C,FALSE,FALSE,0,6,1,7,0,.440,0,0,0,0,0.00,0.00,0
"Dylan Crews",DMK,WSH,OF,FALSE,FALSE,0,11,3,7,7,.187,0,0,0,0,0.00,0.00,0
"Yu Darvish",DMK,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Robert Suarez",DMK,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,7,11,5.40,1.00,0
"Kyle Tucker",DLC,CHC,OF,FALSE,FALSE,0,12,4,10,8,.209,0,0,0,0,0.00,0.00,0
"Kyle Stowers",DLC,MIA,OF,FALSE,FALSE,0,13,9,20,1,.321,0,0,0,0,0.00,0.00,0
"Corbin Carroll",DLC,AZ,OF,FALSE,FALSE,0,19,7,13,5,.238,0,0,0,0,0.00,0.00,0
"Dansby Swanson",DLC,CHC,SS,FALSE,FALSE,0,21,6,14,4,.329,0,0,0,0,0.00,0.00,0
"Ryan McMahon",DLC,FA,3B,FALSE,FALSE,0,16,4,7,1,.202,0,0,0,0,0.00,0.00,0
"Liam Hicks",DLC,MIA,C,FALSE,FALSE,0,3,2,7,0,.300,0,0,0,0,0.00,0.00,0
"Dalton Rushing",DLC,LAD,C,FALSE,FALSE,0,4,0,2,0,.444,0,0,0,0,0.00,0.00,0
"Nathaniel Lowe",DLC,FA,CM,FALSE,FALSE,0,13,5,17,0,.200,0,0,0,0,0.00,0.00,0
"Gavin Sheets",DLC,SD,OF,FALSE,FALSE,0,11,4,13,0,.256,0,0,0,0,0.00,0.00,0
"Tobias Myers",DLC,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,15,4.95,1.80,0
"Nico Hoerner",DDG,CHC,2B,FALSE,FALSE,0,16,0,8,4,.267,0,0,0,0,0.00,0.00,0
"Chris Sale",SKD,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,40,1.72,1.15,0
"Aaron Nola",SKD,PHI,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,27,5.79,1.39,0
"Jesús Luzardo",SKD,PHI,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,28,1.76,1.27,0
"Alexis Díaz",SKD,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,1,21.60,2.70,0
"Ezequiel Tovar",RGS,COL,SS,FALSE,FALSE,0,2,1,2,0,.600,0,0,0,0,0.00,0.00,0
"Freddie Freeman",RGS,LAD,1B,FALSE,FALSE,0,20,5,26,0,.407,0,0,0,0,0.00,0.00,0
"Kyle Hernandez",RGS,UNK,MI,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Wilm. Contreras",RGS,UNK,C,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Jeff McNeil",RGS,NYM,OF,FALSE,FALSE,0,4,2,7,0,.229,0,0,0,0,0.00,0.00,0
"Kyle Schwaber",RGS,UNK,DH,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Andrew Abbott",RGS,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,22,2.37,1.32,0
"Josh Naylor",DMK,FA,1B,FALSE,FALSE,0,9,1,15,4,.300,0,0,0,0,0.00,0.00,0
"Fernando Tatis Jr.",DMK,SD,OF,FALSE,FALSE,0,17,4,11,1,.267,0,0,0,0,0.00,0.00,0
"Sal Frelick",DMK,MIL,OF,FALSE,FALSE,0,6,1,4,3,.213,0,0,0,0,0.00,0.00,0
"Juan Sanchez",DMK,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Austin Hays",DMK,CIN,OF,FALSE,FALSE,0,13,3,10,2,.298,0,0,0,0,0.00,0.00,0
"Justin Verlander",DMK,SF,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,23,2.76,1.09,0
"Roki Sasaki",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,8,6.75,1.50,0
"Mitch Keller",DMK,PIT,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,26,4.03,1.31,0
"E. Rodriguez",DLC,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"K. Yates",DLC,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Max Meyer",DLC,MIA,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,32,6.15,1.48,0
"Spencer Schwellenbach",DDG,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,24,3.94,1.25,0
