player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars,R,HR,RBI,SB,AVG,GS,W,SV,K,ERA,WHIP,SO
"Elly De La Cruz",DMK,CIN,SS,FALSE,FALSE,0,14,4,21,6,.241,0,0,0,0,0.00,0.00,0
"Josh Naylor",DMK,FA,1B,FALSE,FALSE,0,14,4,13,4,.316,0,0,0,0,0.00,0.00,0
"Fernando Tatis Jr.",DMK,SD,OF,FALSE,FALSE,0,19,7,15,7,.351,0,0,0,0,0.00,0.00,0
"Nolan Arenado",DMK,STL,3B,FALSE,FALSE,0,11,2,10,1,.288,0,0,0,0,0.00,0.00,0
"Jake Cronenworth",DMK,SD,2B,FALSE,FALSE,0,7,2,5,0,.257,0,0,0,0,0.00,0.00,0
"Dylan Crews",DMK,WSH,OF,FALSE,FALSE,0,11,2,4,4,.177,0,0,0,0,0.00,0.00,0
"Yu Darvish",DMK,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Robert Suarez",DMK,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,8,10,0.00,0.56,0
"Dansby Swanson",DLC,CHC,SS,FALSE,FALSE,0,10,4,11,2,.174,0,0,0,0,0.00,0.00,0
"Ryan McMahon",DLC,FA,3B,FALSE,FALSE,0,5,2,4,0,.217,0,0,0,0,0.00,0.00,0
"R. Acuna Jr.",DLC,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Kyle Tucker",DLC,CHC,OF,FALSE,FALSE,0,22,6,22,4,.333,0,0,0,0,0.00,0.00,0
"Corbin Carroll",DLC,AZ,OF,FALSE,FALSE,0,19,7,19,4,.341,0,0,0,0,0.00,0.00,0
"Tommy Edman",DLC,LAD,OF,FALSE,FALSE,0,14,6,13,1,.284,0,0,0,0,0.00,0.00,0
"Luis Acuna",DLC,UNK,MI,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Michael King",DLC,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,31,2.57,1.07,1
