player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars,R,HR,RBI,SB,AVG,GS,W,SV,K,ERA,WHIP,SO
"E. Diaz",DMK,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"T. Scott",DMK,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Michael Busch",DLC,CHC,1B,FALSE,FALSE,0,7,3,14,1,.362,0,0,0,0,0.00,0.00,0
"Otto Lopez",DLC,MIA,2B,FALSE,FALSE,0,7,3,11,3,.222,0,0,0,0,0.00,0.00,0
"Shelby Miller",DMK,AZ,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,3,6,2.57,1.29,0
"Gavin Sheets",DLC,SD,OF,FALSE,FALSE,0,6,5,15,0,.182,0,0,0,0,0.00,0.00,0
"J. Wood",DDG,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Brenton Doyle",DDG,COL,OF,FALSE,FALSE,0,4,1,5,2,.172,0,0,0,0,0.00,0.00,0
"Victor Scott II",DDG,STL,OF,FALSE,FALSE,0,6,0,1,4,.167,0,0,0,0,0.00,0.00,0
"Christian Yelich",DDG,MIL,OF,FALSE,FALSE,0,15,6,15,2,.333,0,0,0,0,0.00,0.00,0
"Robert Suarez",DDG,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,5,9,0.00,0.64,0
"Wilmer Flores",DMK,SF,DH,FALSE,FALSE,0,4,1,7,0,.235,0,0,0,0,0.00,0.00,0
"Kyle Tucker",DLC,CHC,OF,FALSE,FALSE,0,11,2,7,4,.333,0,0,0,0,0.00,0.00,0
"Ryan McMahon",DLC,FA,3B,FALSE,FALSE,0,3,1,7,0,.203,0,0,0,0,0.00,0.00,0
"Corbin Carroll",DLC,AZ,OF,FALSE,FALSE,0,11,4,7,1,.169,0,0,0,0,0.00,0.00,0
"Kyle Stowers",DLC,MIA,OF,FALSE,FALSE,0,1,0,3,1,.224,0,0,0,0,0.00,0.00,0
"Dansby Swanson",DLC,CHC,SS,FALSE,FALSE,0,6,1,8,1,.194,0,0,0,0,0.00,0.00,0
"Michael King",DLC,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,8,5.06,1.31,0
"Andre Pallante",DLC,STL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,12,7.47,1.53,0
"CJ Abrams",DDG,WSH,MI,FALSE,FALSE,0,14,2,4,2,.179,0,0,0,0,0.00,0.00,0
"Brett Baty",DDG,NYM,CM,FALSE,FALSE,0,6,1,10,1,.230,0,0,0,0,0.00,0.00,0
"Camilo Doval",DDG,FA,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,3,9,2.45,1.50,0
"Matt Olson",SKD,ATL,1B,FALSE,FALSE,0,12,4,10,0,.246,0,0,0,0,0.00,0.00,0
"TJ Friedl",SKD,CIN,OF,FALSE,FALSE,0,14,2,6,1,.368,0,0,0,0,0.00,0.00,0
"Lars Nootbaar",SKD,STL,OF,FALSE,FALSE,0,10,1,4,0,.227,0,0,0,0,0.00,0.00,0
"Dylan Crews",DMK,WSH,OF,FALSE,FALSE,0,2,2,4,0,.600,0,0,0,0,0.00,0.00,0
"Gavin Lux",DMK,CIN,OF,FALSE,FALSE,0,4,1,7,0,.238,0,0,0,0,0.00,0.00,0
"Iván Herrera",DMK,STL,C,FALSE,FALSE,0,6,1,10,1,.234,0,0,0,0,0.00,0.00,0
"Austin Hays",DMK,CIN,OF,FALSE,FALSE,0,7,0,8,0,.275,0,0,0,0,0.00,0.00,0
